TREES NAME,NUMBER OF TREE
NEEM TREE,77
INDIAN BEECH TREE,79
MONKEY POD TREE,38
ALMOND TREE,28
BAMBOO CYCAD,31
ASHOK TREE,110
TECTONA TREE,34
ORCHID TREE,9
RAMBUTAN TREE,1
STERCULIA FOETIDA,2
PORTIA TREE,1
GULMOHAR TREE,24
PINE,3
BAMBOO TREE,23
PALM TREE,21
SACRED FIG TREE,5
ASIAN BULLET WOOD,38
ALEXANDRIAN LAUREL,10
COCONUT TREE,43
FOX TAIL PALM TREE,17
BOTTLE PALM TREE,9
BANANA TREE,50
ROYAL PALM TREE,43
PAPAYA TREE,8
SAPOTA TREE,9
TAMARIND,9
MANGO TREE,27
GUAVA TREE,8
FISHTAIL PALM,13
CAPE FIG,7
JAMUN TREE,1
CHILEAN JASMINE,3
OLEANDER TREE,1
CHRISTMAS TREE,4
AFRICAN TALISAY,8
COOK PINE,1
AMALTAS TREE,1
FIG TREE,1
GOLDEN BAMBOO TREE,65
ACACIA,3
HAINANIA,4
BIRD CATCHER TREE,5
JACKFRUIT TREE,5
CONIFER TREE ,3
AFRICAN TULIP TREE,2
CUSTARD APPLE TREE,1
CHRISTMAS PALM TREE,3
YELLOW ELDER TREE,4
